(0x0008,0x0001); UL; Length to End; LengthToEnd; 1; RET
(0x0040,0x0020); CS; Scheduled Procedure; ScheduledProcedureStepStatus; 1; 
(0x0040,0x0026); SQ; Order Placer; OrderPlacerIdentifierSequence; 1; 
(0x0040,0x0027); SQ; Order Filler; OrderFillerIdentifierSequence; 1; 
(0x0040,0x0031); UT; Local Namespace; LocalNamespaceEntityID; 1; 
(0x0040,0x0032); UT; Universal Entity ID; UniversalEntityID; 1; 
(0x0040,0x0033); CS; Universal Entity ID; UniversalEntityIDType; 1; 
(0x0040,0x0035); CS; Identifier Type; IdentifierTypeCode; 1; 
(0x0040,0x0036); SQ; Assigning Facility; AssigningFacilitySequence; 1; 
(0x0040,0x0039); SQ; Jurisdiction Code; AssigningJurisdictionCodeSequence; 1; 
(0x0040,0x003A); SQ; Department Code; AssigningAgencyOrDepartmentCodeSequence; 1; 
(0x0040,0x0100); SQ; Scheduled Procedure; ScheduledProcedureStepSequence; 1; 
(0x0040,0x0220); SQ; Image Composite SOP; ReferencedNonImageCompositeSOPInstanceSequence; 1; 
(0x0040,0x0241); AE; Performed Station; PerformedStationAETitle; 1; 
(0x0040,0x0242); SH; Performed Station; PerformedStationName; 1; 
(0x0040,0x0243); SH; Performed Location; PerformedLocation; 1; 
(0x0040,0x0244); DA; Performed Procedure; PerformedProcedureStepStartDate; 1; 
(0x0040,0x0245); TM; Performed Procedure; PerformedProcedureStepStartTime; 1; 
(0x0040,0x0250); DA; Performed Procedure; PerformedProcedureStepEndDate; 1; 
(0x0040,0x0251); TM; Performed Procedure; PerformedProcedureStepEndTime; 1; 
(0x0040,0x0252); CS; Performed Procedure; PerformedProcedureStepStatus; 1; 
(0x0040,0x0253); SH; Performed Procedure; PerformedProcedureStepID; 1; 
(0x0040,0x0254); LO; Performed Procedure; PerformedProcedureStepDescription; 1; 
(0x0040,0x0255); LO; Performed Procedure; PerformedProcedureTypeDescription; 1; 
(0x0040,0x0260); SQ; Performed Protocol; PerformedProtocolCodeSequence; 1; 
(0x0040,0x0261); CS; Performed Protocol; PerformedProtocolType; 1; 
(0x0040,0x0270); SQ; Scheduled Step; ScheduledStepAttributesSequence; 1; 
(0x0040,0x0275); SQ; Request Attributes; RequestAttributesSequence; 1; 
(0x0040,0x0280); ST; Performed Procedure; CommentsOnThePerformedProcedureStep; 1; 
(0x0040,0x0281); SQ; Discontinuation; PerformedProcedureStepDiscontinuationReasonCodeSequence; 1; 
(0x0040,0x0293); SQ; Quantity Sequence; QuantitySequence; 1; 
(0x0040,0x0294); DS; Quantity; Quantity; 1; 
(0x0040,0x0295); SQ; Measuring Units; MeasuringUnitsSequence; 1; 
(0x0040,0x0296); SQ; Billing Item; BillingItemSequence; 1; 
(0x0040,0x0300); US; Total Time of; TotalTimeOfFluoroscopy; 1; 
(0x0040,0x0301); US; Total Number of; TotalNumberOfExposures; 1; 
(0x0040,0x0302); US; Entrance Dose; EntranceDose; 1; 
(0x0040,0x0303); US; Exposed Area; ExposedArea; 1-; 
(0x0040,0x0306); DS; Distance Source to; DistanceSourceToEntrance; 1; 
(0x0040,0x0307); DS; Distance Source to; DistanceSourceToSupport; 1; RET
(0x0040,0x030E); SQ; Exposure Dose; ExposureDoseSequence; 1; 
(0x0040,0x0310); ST; Comments on; CommentsOnRadiationDose; 1; 
(0x0040,0x0312); DS; X-Ray Output; XRayOutput; 1; 
(0x0040,0x0314); DS; Half Value Layer; HalfValueLayer; 1; 
(0x0040,0x0316); DS; Organ Dose; OrganDose; 1; 
(0x0040,0x0318); CS; Organ Exposed; OrganExposed; 1; 
(0x0040,0x0320); SQ; Billing Procedure; BillingProcedureStepSequence; 1; 
(0x0040,0x0321); SQ; Film Consumption; FilmConsumptionSequence; 1; 
(0x0040,0x0324); SQ; and Devices; BillingSuppliesAndDevicesSequence; 1; 
(0x0040,0x0330); SQ; Procedure Step; ReferencedProcedureStepSequence; 1; RET
(0x0040,0x0340); SQ; Performed Series; PerformedSeriesSequence; 1; 
(0x0040,0x0400); LT; Scheduled Procedure; CommentsOnTheScheduledProcedureStep; 1; 
(0x0040,0x0440); SQ; Protocol Context; ProtocolContextSequence; 1; 
(0x0040,0x0441); SQ; Content Item; ContentItemModifierSequence; 1; 
(0x0040,0x0500); SQ; Scheduled Specimen; ScheduledSpecimenSequence; 1; 
(0x0040,0x050A); LO; Specimen Accession; SpecimenAccessionNumber; 1; RET
(0x0040,0x0512); LO; Container; ContainerIdentifier; 1; 
(0x0040,0x0513); SQ; Container; IssuerOfTheContainerIdentifierSequence; 1; 
(0x0040,0x0515); SQ; Alternate Container; AlternateContainerIdentifierSequence; 1; 
(0x0040,0x0518); SQ; Container Type Code; ContainerTypeCodeSequence; 1; 
(0x0040,0x051A); LO; Container; ContainerDescription; 1; 
(0x0040,0x0520); SQ; Container Component; ContainerComponentSequence; 1; 
(0x0040,0x0550); SQ; Specimen Sequence; SpecimenSequence; 1; RET
(0x0040,0x0551); LO; Specimen Identifier; SpecimenIdentifier; 1; 
(0x0040,0x0552); SQ; Description; SpecimenDescriptionSequenceTrial; 1; RET
(0x0040,0x0553); ST; Specimen; SpecimenDescriptionTrial; 1; RET
(0x0040,0x0554); UI; Specimen UID; SpecimenUID; 1; 
(0x0040,0x0555); SQ; Acquisition Context; AcquisitionContextSequence; 1; 
(0x0040,0x0556); ST; Acquisition Context; AcquisitionContextDescription; 1; 
(0x0040,0x059A); SQ; Specimen Type Code; SpecimenTypeCodeSequence; 1; 
(0x0040,0x0560); SQ; Description; SpecimenDescriptionSequence; 1; 
(0x0040,0x0562); SQ; Specimen Identifier; IssuerOfTheSpecimenIdentifierSequence; 1; 
(0x0040,0x0600); LO; Specimen Short; SpecimenShortDescription; 1; 
(0x0040,0x0602); UT; Specimen Detailed; SpecimenDetailedDescription; 1; 
(0x0040,0x0610); SQ; Preparation; SpecimenPreparationSequence; 1; 
(0x0040,0x0612); SQ; Preparation Step; SpecimenPreparationStepContentItemSequence; 1; 
(0x0040,0x0620); SQ; Localization; SpecimenLocalizationContentItemSequence; 1; 
(0x0040,0x06FA); LO; Slide Identifier; SlideIdentifier; 1; RET
(0x0040,0x071A); SQ; Coordinates; ImageCenterPointCoordinatesSequence; 1; 
(0x0040,0x072A); DS; X Offset in Slide; XOffsetInSlideCoordinateSystem; 1; 
(0x0040,0x073A); DS; Y Offset in Slide; YOffsetInSlideCoordinateSystem; 1; 
(0x0040,0x074A); DS; Z Offset in Slide; ZOffsetInSlideCoordinateSystem; 1; 
(0x0040,0x08D8); SQ; Pixel Spacing; PixelSpacingSequence; 1; RET
(0x0040,0x08DA); SQ; Coordinate System; CoordinateSystemAxisCodeSequence; 1; RET
(0x0040,0x08EA); SQ; Measurement Units; MeasurementUnitsCodeSequence; 1; 
(0x0040,0x09F8); SQ; Vital Stain Code; VitalStainCodeSequenceTrial; 1; RET
(0x0040,0x1001); SH; Requested Procedure; RequestedProcedureID; 1; 
(0x0040,0x1002); LO; Reason for the; ReasonForTheRequestedProcedure; 1; 
(0x0040,0x1003); SH; Requested Procedure; RequestedProcedurePriority; 1; 
(0x0040,0x1004); LO; Patient Transport; PatientTransportArrangements; 1; 
(0x0040,0x1005); LO; Requested Procedure; RequestedProcedureLocation; 1; 
(0x0040,0x1006); SH; Placer Order Number; PlacerOrderNumberProcedure; 1; RET
(0x0040,0x1007); SH; Filler Order Number; FillerOrderNumberProcedure; 1; RET
(0x0040,0x1008); LO; Confidentiality; ConfidentialityCode; 1; 
(0x0040,0x1009); SH; Reporting Priority; ReportingPriority; 1; 
(0x0040,0x100A); SQ; Requested Procedure; ReasonForRequestedProcedureCodeSequence; 1; 
(0x0040,0x1010); PN; Recipients of; NamesOfIntendedRecipientsOfResults; n; 
(0x0040,0x1011); SQ; of Results; IntendedRecipientsOfResultsIdentificationSequence; 1; 
(0x0040,0x1012); SQ; Performed Procedure; ReasonForPerformedProcedureCodeSequence; 1; 
(0x0040,0x1060); LO; Requested Procedure; RequestedProcedureDescriptionTrial; 1; RET
(0x0040,0x1101); SQ; Identification Code; PersonIdentificationCodeSequence; 1; 
(0x0040,0x1102); ST; Persons Address; PersonAddress; 1; 
(0x0040,0x1103); LO; Persons; PersonTelephoneNumbers; 1-; 
(0x0040,0x1400); LT; Requested Procedure; RequestedProcedureComments; 1; 
(0x0040,0x2001); LO; Imaging Service; ReasonForTheImagingServiceRequest; 1; RET
(0x0040,0x2004); DA; Imaging Service; IssueDateOfImagingServiceRequest; 1; 
(0x0040,0x2005); TM; Imaging Service; IssueTimeOfImagingServiceRequest; 1; 
(0x0040,0x2006); SH; / Imaging Service; PlacerOrderNumberImagingServiceRequestRetired; 1; RET
(0x0040,0x2007); SH; / Imaging Service; FillerOrderNumberImagingServiceRequestRetired; 1; RET
(0x0040,0x2008); PN; Order Entered By; OrderEnteredBy; 1; 
(0x0040,0x2009); SH; Order Enterers; OrderEntererLocation; 1; 
(0x0040,0x2010); SH; Order Callback; OrderCallbackPhoneNumber; 1; 
(0x0040,0x2016); LO; / Imaging Service; PlacerOrderNumberImagingServiceRequest; 1; 
(0x0040,0x2017); LO; / Imaging Service; FillerOrderNumberImagingServiceRequest; 1; 
(0x0040,0x2400); LT; Imaging Service; ImagingServiceRequestComments; 1; 
(0x0040,0x3001); LO; Constraint on; ConfidentialityConstraintOnPatientDataDescription; 1; 
(0x0040,0x4001); CS; Scheduled Procedure; GeneralPurposeScheduledProcedureStepStatus; 1; 
(0x0040,0x4002); CS; Performed Procedure; GeneralPurposePerformedProcedureStepStatus; 1; 
(0x0040,0x4003); CS; Scheduled Procedure; GeneralPurposeScheduledProcedureStepPriority; 1; 
(0x0040,0x4004); SQ; Processing; ScheduledProcessingApplicationsCodeSequence; 1; 
(0x0040,0x4005); DT; Scheduled Procedure; ScheduledProcedureStepStartDateTime; 1; 
(0x0040,0x4006); CS; Multiple Copies; MultipleCopiesFlag; 1; 
(0x0040,0x4007); SQ; Processing; PerformedProcessingApplicationsCodeSequence; 1; 
(0x0040,0x4009); SQ; Human Performer; HumanPerformerCodeSequence; 1; 
(0x0040,0x4010); DT; Step Modification; ScheduledProcedureStepModificationDateTime; 1; 
(0x0040,0x4011); DT; Expected Completion; ExpectedCompletionDateTime; 1; 
(0x0040,0x4015); SQ; Purpose Performed; ResultingGeneralPurposePerformedProcedureStepsSequence; 1; 
(0x0040,0x4016); SQ; Purpose Scheduled; ReferencedGeneralPurposeScheduledProcedureStepSequence; 1; 
(0x0040,0x4018); SQ; Scheduled Workitem; ScheduledWorkitemCodeSequence; 1; 
(0x0040,0x4019); SQ; Performed Workitem; PerformedWorkitemCodeSequence; 1; 
(0x0040,0x4020); CS; Input Availability; InputAvailabilityFlag; 1; 
(0x0040,0x4021); SQ; Input Information; InputInformationSequence; 1; 
(0x0040,0x4022); SQ; Information; RelevantInformationSequence; 1; 
(0x0040,0x4023); UI; Purpose Scheduled; ReferencedGeneralPurposeScheduledProcedureStepTransactionUID; 1; 
(0x0040,0x4025); SQ; Scheduled Station; ScheduledStationNameCodeSequence; 1; 
(0x0040,0x4026); SQ; Scheduled Station; ScheduledStationClassCodeSequence; 1; 
(0x0040,0x4027); SQ; Geographic Location; ScheduledStationGeographicLocationCodeSequence; 1; 
(0x0040,0x4028); SQ; Performed Station; PerformedStationNameCodeSequence; 1; 
(0x0040,0x4029); SQ; Performed Station; PerformedStationClassCodeSequence; 1; 
(0x0040,0x4030); SQ; Geographic Location; PerformedStationGeographicLocationCodeSequence; 1; 
(0x0040,0x4031); SQ; Subsequent Workitem; RequestedSubsequentWorkitemCodeSequence; 1; 
(0x0040,0x4032); SQ; Non-DICOM Output; NonDICOMOutputCodeSequence; 1; 
(0x0040,0x4033); SQ; Output Information; OutputInformationSequence; 1; 
(0x0040,0x4034); SQ; Scheduled Human; ScheduledHumanPerformersSequence; 1; 
(0x0040,0x4035); SQ; Actual Human; ActualHumanPerformersSequence; 1; 
(0x0040,0x4036); LO; Human Performers; HumanPerformerOrganization; 1; 
(0x0040,0x4037); PN; Human Performers; HumanPerformerName; 1; 
(0x0040,0x4040); CS; Raw Data Handling; RawDataHandling; 1; 
(0x0040,0x4041); CS; Input Readiness; InputReadinessState; 1; 
(0x0040,0x4050); DT; Performed Procedure; PerformedProcedureStepStartDateTime; 1; 
(0x0040,0x4051); DT; Performed Procedure; PerformedProcedureStepEndDateTime; 1; 
(0x0040,0x4052); DT; Cancellation; ProcedureStepCancellationDateTime; 1; 
(0x0040,0x8302); DS; Entrance Dose in; EntranceDoseInmGy; 1; 
(0x0040,0x9094); SQ; Real World Value; ReferencedImageRealWorldValueMappingSequence; 1; 
(0x0040,0x9096); SQ; Real World Value; RealWorldValueMappingSequence; 1; 
(0x0040,0x9098); SQ; Pixel Value Mapping; PixelValueMappingCodeSequence; 1; 
(0x0040,0x9210); SH; LUT Label; LUTLabel; 1; 
(0x0040,0x9211); US SS; Last Value Mapped; RealWorldValueLastValueMapped; 1; 
(0x0040,0x9212); FD; Real World Value; RealWorldValueLUTData; 1-; 
(0x0040,0x9216); US SS; First Value Mapped; RealWorldValueFirstValueMapped; 1; 
(0x0040,0x9224); FD; Real World Value; RealWorldValueIntercept; 1; 
(0x0040,0x9225); FD; Real World Value; RealWorldValueSlope; 1; 
(0x0040,0xA007); CS; Findings Flag; FindingsFlagTrial; 1; RET
(0x0040,0xA010); CS; Relationship Type; RelationshipType; 1; 
(0x0040,0xA020); SQ; Findings Sequence; FindingsSequenceTrial; 1; RET
(0x0040,0xA021); UI; Findings Group UID; FindingsGroupUIDTrial; 1; RET
(0x0040,0xA022); UI; Referenced Findings; ReferencedFindingsGroupUIDTrial; 1; RET
(0x0040,0xA023); DA; Recording Date; FindingsGroupRecordingDateTrial; 1; RET
(0x0040,0xA024); TM; Recording Time; FindingsGroupRecordingTimeTrial; 1; RET
(0x0040,0xA026); SQ; Category Code; FindingsSourceCategoryCodeSequenceTrial; 1; RET
(0x0040,0xA027); LO; Verifying; VerifyingOrganization; 1; 
(0x0040,0xA028); SQ; Organization; DocumentingOrganizationIdentifierCodeSequenceTrial; 1; RET
(0x0040,0xA030); DT; Verification Date; VerificationDateTime; 1; 
(0x0040,0xA032); DT; Observation Date; ObservationDateTime; 1; 
(0x0040,0xA040); CS; Value Type; ValueType; 1; 
(0x0040,0xA043); SQ; Concept Name Code; ConceptNameCodeSequence; 1; 
(0x0040,0xA047); LO; Precision; MeasurementPrecisionDescriptionTrial; 1; RET
(0x0040,0xA050); CS; Continuity Of; ContinuityOfContent; 1; 
(0x0040,0xA057); CS; Urgency or Priority; UrgencyOrPriorityAlertsTrial; 1-; RET
(0x0040,0xA060); LO; Sequencing; SequencingIndicatorTrial; 1; RET
(0x0040,0xA066); SQ; Code Sequence; DocumentIdentifierCodeSequenceTrial; 1; RET
(0x0040,0xA067); PN; Document Author; DocumentAuthorTrial; 1; RET
(0x0040,0xA068); SQ; Identifier Code; DocumentAuthorIdentifierCodeSequenceTrial; 1; RET
(0x0040,0xA070); SQ; Identifier Code; IdentifierCodeSequenceTrial; 1; RET
(0x0040,0xA073); SQ; Verifying Observer; VerifyingObserverSequence; 1; 
(0x0040,0xA074); OB; Object Binary; ObjectBinaryIdentifierTrial; 1; RET
(0x0040,0xA075); PN; Verifying Observer; VerifyingObserverName; 1; 
(0x0040,0xA076); SQ; Observer Identifier; DocumentingObserverIdentifierCodeSequenceTrial; 1; RET
(0x0040,0xA078); SQ; Author Observer; AuthorObserverSequence; 1; 
(0x0040,0xA07A); SQ; Participant; ParticipantSequence; 1; 
(0x0040,0xA07C); SQ; Organization; CustodialOrganizationSequence; 1; 
(0x0040,0xA080); CS; Participation Type; ParticipationType; 1; 
(0x0040,0xA082); DT; Participation; ParticipationDateTime; 1; 
(0x0040,0xA084); CS; Observer Type; ObserverType; 1; 
(0x0040,0xA085); SQ; Identifier Code; ProcedureIdentifierCodeSequenceTrial; 1; RET
(0x0040,0xA088); SQ; Identification Code; VerifyingObserverIdentificationCodeSequence; 1; 
(0x0040,0xA089); OB; Binary Identifier; ObjectDirectoryBinaryIdentifierTrial; 1; RET
(0x0040,0xA090); SQ; Equivalent CDA; EquivalentCDADocumentSequence; 1; RET
(0x0040,0xA0B0); US; Referenced Waveform; ReferencedWaveformChannels; 2-; 
(0x0040,0xA110); DA; Verbal Transaction; DateOfDocumentOrVerbalTransactionTrial; 1; RET
(0x0040,0xA112); TM; Creation or Verbal; TimeOfDocumentCreationOrVerbalTransactionTrial; 1; RET
(0x0040,0xA120); DT; DateTime; DateTime; 1; 
(0x0040,0xA121); DA; Date; Date; 1; 
(0x0040,0xA122); TM; Time; Time; 1; 
(0x0040,0xA123); PN; Person Name; PersonName; 1; 
(0x0040,0xA124); UI; UID; UID; 1; 
(0x0040,0xA125); CS; Report Status ID; ReportStatusIDTrial; 2; RET
(0x0040,0xA130); CS; Temporal Range Type; TemporalRangeType; 1; 
(0x0040,0xA132); UL; Referenced Sample; ReferencedSamplePositions; 1-; 
(0x0040,0xA136); US; Referenced Frame; ReferencedFrameNumbers; 1-; 
(0x0040,0xA138); DS; Referenced Time; ReferencedTimeOffsets; 1-; 
(0x0040,0xA13A); DT; Referenced DateTime; ReferencedDateTime; 1-; 
(0x0040,0xA160); UT; Text Value; TextValue; 1; 
(0x0040,0xA167); SQ; Category Code; ObservationCategoryCodeSequenceTrial; 1; RET
(0x0040,0xA168); SQ; Concept Code; ConceptCodeSequence; 1; 
(0x0040,0xA16A); ST; Bibliographic; BibliographicCitationTrial; 1; RET
(0x0040,0xA170); SQ; Reference Code; PurposeOfReferenceCodeSequence; 1; 
(0x0040,0xA171); UI; Observation UID; ObservationUIDTrial; 1; RET
(0x0040,0xA172); UI; Observation UID; ReferencedObservationUIDTrial; 1; RET
(0x0040,0xA173); CS; Observation Class; ReferencedObservationClassTrial; 1; RET
(0x0040,0xA174); CS; Observation Class; ReferencedObjectObservationClassTrial; 1; RET
(0x0040,0xA180); US; Annotation Group; AnnotationGroupNumber; 1; 
(0x0040,0xA192); DA; Observation Date; ObservationDateTrial; 1; RET
(0x0040,0xA193); TM; Observation Time; ObservationTimeTrial; 1; RET
(0x0040,0xA194); CS; Measurement; MeasurementAutomationTrial; 1; RET
(0x0040,0xA195); SQ; Modifier Code; ModifierCodeSequence; 1; 
(0x0040,0xA224); ST; Identification; IdentificationDescriptionTrial; 1; RET
(0x0040,0xA290); CS; Geometric Type; CoordinatesSetGeometricTypeTrial; 1; RET
(0x0040,0xA296); SQ; Algorithm Code; AlgorithmCodeSequenceTrial; 1; RET
(0x0040,0xA297); ST; Algorithm; AlgorithmDescriptionTrial; 1; RET
(0x0040,0xA29A); SL; Pixel Coordinates; PixelCoordinatesSetTrial; 2-; RET
(0x0040,0xA300); SQ; Measured Value; MeasuredValueSequence; 1; 
(0x0040,0xA301); SQ; Qualifier Code; NumericValueQualifierCodeSequence; 1; 
(0x0040,0xA307); PN; Current Observer; CurrentObserverTrial; 1; RET
(0x0040,0xA30A); DS; Numeric Value; NumericValue; 1-; 
(0x0040,0xA313); SQ; Accession Sequence; ReferencedAccessionSequenceTrial; 1; RET
(0x0040,0xA33A); ST; Report Status; ReportStatusCommentTrial; 1; RET
(0x0040,0xA340); SQ; Procedure Context; ProcedureContextSequenceTrial; 1; RET
(0x0040,0xA352); PN; Verbal Source; VerbalSourceTrial; 1; RET
(0x0040,0xA353); ST; Address (Trial); AddressTrial; 1; RET
(0x0040,0xA354); LO; Telephone Number; TelephoneNumberTrial; 1; RET
(0x0040,0xA358); SQ; Identifier Code; VerbalSourceIdentifierCodeSequenceTrial; 1; RET
(0x0040,0xA360); SQ; Predecessor; PredecessorDocumentsSequence; 1; 
(0x0040,0xA370); SQ; Referenced Request; ReferencedRequestSequence; 1; 
(0x0040,0xA372); SQ; Performed Procedure; PerformedProcedureCodeSequence; 1; 
(0x0040,0xA375); SQ; Procedure Evidence; CurrentRequestedProcedureEvidenceSequence; 1; 
(0x0040,0xA380); SQ; Report Detail; ReportDetailSequenceTrial; 1; RET
(0x0040,0xA385); SQ; Pertinent Other; PertinentOtherEvidenceSequence; 1; 
(0x0040,0xA390); SQ; Document Reference; HL7StructuredDocumentReferenceSequence; 1; 
(0x0040,0xA402); UI; Observation Subject; ObservationSubjectUIDTrial; 1; RET
(0x0040,0xA403); CS; Observation Subject; ObservationSubjectClassTrial; 1; RET
(0x0040,0xA404); SQ; Type Code Sequence; ObservationSubjectTypeCodeSequenceTrial; 1; RET
(0x0040,0xA491); CS; Completion Flag; CompletionFlag; 1; 
(0x0040,0xA492); LO; Completion Flag; CompletionFlagDescription; 1; 
(0x0040,0xA493); CS; Verification Flag; VerificationFlag; 1; 
(0x0040,0xA494); CS; Archive Requested; ArchiveRequested; 1; 
(0x0040,0xA496); CS; Preliminary Flag; PreliminaryFlag; 1; 
(0x0040,0xA504); SQ; Content Template; ContentTemplateSequence; 1; 
(0x0040,0xA525); SQ; Identical Documents; IdenticalDocumentsSequence; 1; 
(0x0040,0xA600); CS; Context Flag; ObservationSubjectContextFlagTrial; 1; RET
(0x0040,0xA601); CS; Observer Context; ObserverContextFlagTrial; 1; RET
(0x0040,0xA603); CS; Procedure Context; ProcedureContextFlagTrial; 1; RET
(0x0040,0xA730); SQ; Content Sequence; ContentSequence; 1; 
(0x0040,0xA731); SQ; Relationship; RelationshipSequenceTrial; 1; RET
(0x0040,0xA732); SQ; Code Sequence; RelationshipTypeCodeSequenceTrial; 1; RET
(0x0040,0xA744); SQ; Language Code; LanguageCodeSequenceTrial; 1; RET
(0x0040,0xA992); ST; Uniform Resource; UniformResourceLocatorTrial; 1; RET
(0x0040,0xB020); SQ; Waveform Annotation; WaveformAnnotationSequence; 1; 
(0x0040,0xDB00); CS; Template Identifier; TemplateIdentifier; 1; 
(0x0040,0xDB06); DT; Template Version; TemplateVersion; 1; RET
(0x0040,0xDB07); DT; Template Local; TemplateLocalVersion; 1; RET
(0x0040,0xDB0B); CS; Template Extension; TemplateExtensionFlag; 1; RET
(0x0040,0xDB0C); UI; Template Extension; TemplateExtensionOrganizationUID; 1; RET
(0x0040,0xDB0D); UI; Template Extension; TemplateExtensionCreatorUID; 1; RET
(0x0040,0xDB73); UL; Referenced Content; ReferencedContentItemIdentifier; 1-; 
(0x0040,0xE001); ST; HL7 Instance; HL7InstanceIdentifier; 1; 
(0x0040,0xE004); DT; HL7 Document; HL7DocumentEffectiveTime; 1; 
(0x0040,0xE006); SQ; HL7 Document Type; HL7DocumentTypeCodeSequence; 1; 
(0x0040,0xE008); SQ; Document Class Code; DocumentClassCodeSequence; 1; 
(0x0040,0xE010); UT; Retrieve URI; RetrieveURI; 1; 
(0x0040,0xE011); UI; Retrieve Location; RetrieveLocationUID; 1; 
(0x0040,0xE020); CS; Type of Instances; TypeOfInstances; 1; 
(0x0040,0xE021); SQ; DICOM Retrieval; DICOMRetrievalSequence; 1; 
(0x0040,0xE022); SQ; DICOM Media; DICOMMediaRetrievalSequence; 1; 
(0x0040,0xE023); SQ; WADO Retrieval; WADORetrievalSequence; 1; 
(0x0040,0xE024); SQ; XDS Retrieval; XDSRetrievalSequence; 1; 
(0x0040,0xE030); UI; Repository Unique; RepositoryUniqueID; 1; 
(0x0040,0xE031); UI; Home Community ID; HomeCommunityID; 1; 
(0x0042,0x0010); ST; Document Title; DocumentTitle; 1; 
(0x0042,0x0011); OB; Encapsulated; EncapsulatedDocument; 1; 
(0x0042,0x0012); LO; Encapsulated; MIMETypeOfEncapsulatedDocument; 1; 
(0x0042,0x0013); SQ; Source Instance; SourceInstanceSequence; 1; 
(0x0042,0x0014); LO; List of MIME Types; ListOfMIMETypes; 1-; 
(0x0044,0x0001); ST; Product Package; ProductPackageIdentifier; 1; 
(0x0044,0x0002); CS; Administration; SubstanceAdministrationApproval; 1; 
(0x0044,0x0003); LT; Approval Status; ApprovalStatusFurtherDescription; 1; 
(0x0044,0x0004); DT; Approval Status; ApprovalStatusDateTime; 1; 
(0x0044,0x0007); SQ; Product Type Code; ProductTypeCodeSequence; 1; 
(0x0044,0x0008); LO; Product Name; ProductName; 1-; 
(0x0044,0x0009); LT; Product Description; ProductDescription; 1; 
(0x0044,0x000A); LO; Product Lot; ProductLotIdentifier; 1; 
(0x0044,0x000B); DT; Product Expiration; ProductExpirationDateTime; 1; 
(0x0044,0x0010); DT; Administration; SubstanceAdministrationDateTime; 1; 
(0x0044,0x0011); LO; Administration; SubstanceAdministrationNotes; 1; 
(0x0044,0x0012); LO; Administration; SubstanceAdministrationDeviceID; 1; 
(0x0044,0x0013); SQ; Product Parameter; ProductParameterSequence; 1; 
(0x0044,0x0019); SQ; Administration; SubstanceAdministrationParameterSequence; 1; 
(0x0046,0x0012); LO; Lens Description; LensDescription; 1; 
(0x0046,0x0014); SQ; Right Lens Sequence; RightLensSequence; 1; 
(0x0046,0x0015); SQ; Left Lens Sequence; LeftLensSequence; 1; 
(0x0046,0x0016); SQ; Laterality Lens; UnspecifiedLateralityLensSequence; 1; 
(0x0046,0x0018); SQ; Cylinder Sequence; CylinderSequence; 1; 
(0x0046,0x0028); SQ; Prism Sequence; PrismSequence; 1; 
(0x0046,0x0030); FD; Horizontal Prism; HorizontalPrismPower; 1; 
(0x0046,0x0032); CS; Horizontal Prism; HorizontalPrismBase; 1; 
(0x0046,0x0034); FD; Vertical Prism; VerticalPrismPower; 1; 
(0x0046,0x0036); CS; Vertical Prism Base; VerticalPrismBase; 1; 
(0x0046,0x0038); CS; Lens Segment Type; LensSegmentType; 1; 
(0x0046,0x0040); FD; Optical; OpticalTransmittance; 1; 
(0x0046,0x0042); FD; Channel Width; ChannelWidth; 1; 
(0x0046,0x0044); FD; Pupil Size; PupilSize; 1; 
(0x0046,0x0046); FD; Corneal Size; CornealSize; 1; 
(0x0046,0x0050); SQ; Autorefraction; AutorefractionRightEyeSequence; 1; 
(0x0046,0x0052); SQ; Autorefraction Left; AutorefractionLeftEyeSequence; 1; 
(0x0046,0x0060); FD; Distance Pupillary; DistancePupillaryDistance; 1; 
(0x0046,0x0062); FD; Near Pupillary; NearPupillaryDistance; 1; 
(0x0046,0x0063); FD; Intermediate; IntermediatePupillaryDistance; 1; 
(0x0046,0x0064); FD; Other Pupillary; OtherPupillaryDistance; 1; 
(0x0046,0x0070); SQ; Keratometry Right; KeratometryRightEyeSequence; 1; 
(0x0046,0x0071); SQ; Keratometry Left; KeratometryLeftEyeSequence; 1; 
(0x0046,0x0074); SQ; Steep Keratometric; SteepKeratometricAxisSequence; 1; 
(0x0046,0x0075); FD; Radius of Curvature; RadiusOfCurvature; 1; 
(0x0046,0x0076); FD; Keratometric Power; KeratometricPower; 1; 
(0x0046,0x0077); FD; Keratometric Axis; KeratometricAxis; 1; 
(0x0046,0x0080); SQ; Flat Keratometric; FlatKeratometricAxisSequence; 1; 
(0x0046,0x0092); CS; Background Color; BackgroundColor; 1; 
(0x0046,0x0094); CS; Optotype; Optotype; 1; 
(0x0046,0x0095); CS; Optotype; OptotypePresentation; 1; 
(0x0046,0x0097); SQ; Refraction Right; SubjectiveRefractionRightEyeSequence; 1; 
(0x0046,0x0098); SQ; Refraction Left Eye; SubjectiveRefractionLeftEyeSequence; 1; 
(0x0046,0x0100); SQ; Add Near Sequence; AddNearSequence; 1; 
(0x0046,0x0101); SQ; Add Intermediate; AddIntermediateSequence; 1; 
(0x0046,0x0102); SQ; Add Other Sequence; AddOtherSequence; 1; 
(0x0046,0x0104); FD; Add Power; AddPower; 1; 
(0x0046,0x0106); FD; Viewing Distance; ViewingDistance; 1; 
(0x0046,0x0121); SQ; Visual Acuity Type; VisualAcuityTypeCodeSequence; 1; 
(0x0046,0x0122); SQ; Visual Acuity Right; VisualAcuityRightEyeSequence; 1; 
